source,source_id,name,manufacturer,category,price_text,price_value,currency,rating_text,rating_value,review_count,url,payload_json
bike_components,https://www.bike-components.de/en/Continental/Cross-28-Inner-Tube-p26277/,Quickly Sold Out Rating: 4.5 of 5 based on 18 reviews (18) Continental Cross 28 Inner Tube from 4.99€,Continental,components,4.99€,4.99,EUR,Quickly Sold Out Rating: 4.5 of 5 based on 18 reviews (18) Continental Cross 28 Inner Tube from 4.99€,4.5,18,https://www.bike-components.de/en/Continental/Cross-28-Inner-Tube-p26277/,"{""context_url"": ""https://www.bike-components.de/en/components/"", ""parent_text"": ""Quickly Sold Out Rating: 4.5 of 5 based on 18 reviews (18) Continental Cross 28 Inner Tube from 4.99€""}"
bike_components,https://www.bike-components.de/en/Fox-Racing-Shox/36-Float-FIT4-Factory-29-suspension-fork-Workshop-Packaging-p293875/?v=65339-black,"New Fox Racing Shox 36 Float FIT4 Factory 29"" suspension fork - Workshop Packaging 469.00€",Fox-Racing-Shox,components,469.00€,469.0,EUR,,,,https://www.bike-components.de/en/Fox-Racing-Shox/36-Float-FIT4-Factory-29-suspension-fork-Workshop-Packaging-p293875/?v=65339-black,"{""context_url"": ""https://www.bike-components.de/en/components/"", ""parent_text"": ""New Fox Racing Shox 36 Float FIT4 Factory 29\"" suspension fork - Workshop Packaging 469.00€""}"
bike_components,https://www.bike-components.de/en/SRAM/GX-Eagle-Transmission-Upgrade-Kit-p172400/,SRAM GX Eagle Transmission Upgrade Kit 259.00€,SRAM,components,259.00€,259.0,EUR,,,,https://www.bike-components.de/en/SRAM/GX-Eagle-Transmission-Upgrade-Kit-p172400/,"{""context_url"": ""https://www.bike-components.de/en/components/"", ""parent_text"": ""SRAM GX Eagle Transmission Upgrade Kit 259.00€""}"
bike_components,https://www.bike-components.de/en/SRAM/Force-E1-AXS-HRD-disc-brake-with-shift-brake-lever-p96641/,SRAM Force E1 AXS HRD disc brake with shift/brake lever 210.99€,SRAM,brakes,210.99€,210.99,EUR,,,,https://www.bike-components.de/en/SRAM/Force-E1-AXS-HRD-disc-brake-with-shift-brake-lever-p96641/,"{""context_url"": ""https://www.bike-components.de/en/components/brakes/"", ""parent_text"": ""SRAM Force E1 AXS HRD disc brake with shift/brake lever 210.99€""}"
bike_components,https://www.bike-components.de/en/SRAM/HS2-6-Bolt-Brake-Rotor-p84482/,up to -10 % Rating: 4.5 of 5 based on 21 reviews (21) SRAM HS2 6-Bolt Brake Rotor from 27.99€,SRAM,brakes,27.99€,27.99,EUR,up to -10 % Rating: 4.5 of 5 based on 21 reviews (21) SRAM HS2 6-Bolt Brake Rotor from 27.99€,4.5,21,https://www.bike-components.de/en/SRAM/HS2-6-Bolt-Brake-Rotor-p84482/,"{""context_url"": ""https://www.bike-components.de/en/components/brakes/"", ""parent_text"": ""up to -10 % Rating: 4.5 of 5 based on 21 reviews (21) SRAM HS2 6-Bolt Brake Rotor from 27.99€""}"
bike_components,https://www.bike-components.de/en/Shimano/SM-RT64-Center-Lock-Brake-Rotor-for-Deore-w-External-Teeth-p72874/,up to -23 % Rating: 4 of 5 based on 9 reviews (9) Shimano SM-RT64 Center Lock Brake Rotor for Deore w/ External Teeth from 12.99€,Shimano,brakes,12.99€,12.99,EUR,up to -23 % Rating: 4 of 5 based on 9 reviews (9) Shimano SM-RT64 Center Lock Brake Rotor for Deore w/ External Teeth from 12.99€,4.0,9,https://www.bike-components.de/en/Shimano/SM-RT64-Center-Lock-Brake-Rotor-for-Deore-w-External-Teeth-p72874/,"{""context_url"": ""https://www.bike-components.de/en/components/brakes/"", ""parent_text"": ""up to -23 % Rating: 4 of 5 based on 9 reviews (9) Shimano SM-RT64 Center Lock Brake Rotor for Deore w/ External Teeth from 12.99€""}"
bike_components,https://www.bike-components.de/en/Trickstuff/Direttissima-Special-Edition-Disc-Brake-Front-Rear-Set-p250182/,New Trickstuff Direttissima Special Edition Disc Brake Front+Rear Set 919.00€,Trickstuff,brakes,919.00€,919.0,EUR,,,,https://www.bike-components.de/en/Trickstuff/Direttissima-Special-Edition-Disc-Brake-Front-Rear-Set-p250182/,"{""context_url"": ""https://www.bike-components.de/en/components/brakes/"", ""parent_text"": ""New Trickstuff Direttissima Special Edition Disc Brake Front+Rear Set 919.00€""}"
bike_components,https://www.bike-components.de/en/SRAM/Maven-Ultimate-Stealth-F-R-Disc-Brake-Set-p93055/,SRAM Maven Ultimate Stealth F+R Disc Brake Set 369.00€,SRAM,brakes,369.00€,369.0,EUR,,,,https://www.bike-components.de/en/SRAM/Maven-Ultimate-Stealth-F-R-Disc-Brake-Set-p93055/,"{""context_url"": ""https://www.bike-components.de/en/components/brakes/"", ""parent_text"": ""SRAM Maven Ultimate Stealth F+R Disc Brake Set 369.00€""}"
bike_components,https://www.bike-components.de/en/SRAM/Rival-E1-AXS-HRD-disc-brake-with-shift-brake-lever-p96662/,SRAM Rival E1 AXS HRD disc brake with shift/brake lever 155.99€,SRAM,brakes,155.99€,155.99,EUR,,,,https://www.bike-components.de/en/SRAM/Rival-E1-AXS-HRD-disc-brake-with-shift-brake-lever-p96662/,"{""context_url"": ""https://www.bike-components.de/en/components/brakes/"", ""parent_text"": ""SRAM Rival E1 AXS HRD disc brake with shift/brake lever 155.99€""}"
bike_components,https://www.bike-components.de/en/Favero/Assioma-Pro-RS-2-Power-Meter-Pedals-p217183/,Favero Assioma Pro RS-2 Power Meter Pedals 579.00€,Favero,drivetrain,579.00€,579.0,EUR,,,,https://www.bike-components.de/en/Favero/Assioma-Pro-RS-2-Power-Meter-Pedals-p217183/,"{""context_url"": ""https://www.bike-components.de/en/components/drivetrain/"", ""parent_text"": ""Favero Assioma Pro RS-2 Power Meter Pedals 579.00€""}"
