image_path,file_name,source,width,height,annotate,quality_status,view_label,occlusion,notes
E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\001e9706460d1833.jpeg,001e9706460d1833.jpeg,images,1200,900,1,pending,,,
E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\00236d61be064b05.jpg,00236d61be064b05.jpg,images,1200,900,1,pending,,,
E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\00a63c983524dcd3.jpeg,00a63c983524dcd3.jpeg,images,675,900,1,pending,,,
E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\019a77020d8ea493.jpeg,019a77020d8ea493.jpeg,images,1200,900,1,pending,,,
E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\01e0ef8d2d987d21.jpg,01e0ef8d2d987d21.jpg,images,675,900,1,pending,,,
E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\01fca5c3b7bd6cfd.jpg,01fca5c3b7bd6cfd.jpg,images,675,900,1,pending,,,
E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\02050aab9e955c52.jpg,02050aab9e955c52.jpg,images,675,900,1,pending,,,
E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\02f612baf3b07af0.png,02f612baf3b07af0.png,images,506,900,1,pending,,,
E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\039d568aa7c7dc6e.jpg,039d568aa7c7dc6e.jpg,images,988,900,1,pending,,,
E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\0578533893bb01e6.jpeg,0578533893bb01e6.jpeg,images,1200,800,1,pending,,,
E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\067f7e61f00b2289.jpg,067f7e61f00b2289.jpg,images,1200,900,1,pending,,,
E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\0684e206843a1491.jpg,0684e206843a1491.jpg,images,675,900,1,pending,,,
E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\09c7b5f13114037f.jpeg,09c7b5f13114037f.jpeg,images,1098,900,1,pending,,,
E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\0aa57a53665c6413.jpeg,0aa57a53665c6413.jpeg,images,764,900,1,pending,,,
E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\0bfad3b35d0afd0b.jpg,0bfad3b35d0afd0b.jpg,images,1200,800,1,pending,,,
E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\0d92eb134be6ed05.jpg,0d92eb134be6ed05.jpg,images,675,900,1,pending,,,
E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\0d9345337f94144b.jpg,0d9345337f94144b.jpg,images,1152,900,1,pending,,,
E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\0eb348585ba69411.jpeg,0eb348585ba69411.jpeg,images,1200,898,1,pending,,,
E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\0f28fb8a8c58d926.jpeg,0f28fb8a8c58d926.jpeg,images,1200,879,1,pending,,,
E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\10cb8959e01bcebe.jpg,10cb8959e01bcebe.jpg,images,1200,900,1,pending,,,
E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\128774d11c6f9d58.jpg,128774d11c6f9d58.jpg,images,1200,675,1,pending,,,
E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\12ab4dacf7cd4433.jpeg,12ab4dacf7cd4433.jpeg,images,1166,900,1,pending,,,
E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\140ad90d182a72b6.jpg,140ad90d182a72b6.jpg,images,675,900,1,pending,,,
E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\1411a50437137d8d.jpg,1411a50437137d8d.jpg,images,900,900,1,pending,,,
E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\14e949ef3a2b2d5e.jpg,14e949ef3a2b2d5e.jpg,images,1200,900,1,pending,,,
E:\cocoon\study\复习资料\数据可视化\bike_data_platform\data\raw\images\bike_index\14feb5b9be911188.jpeg,14feb5b9be911188.jpeg,images,900,900,1,pending,,,
