component_catalog_id,brand_name,part_key,part_name,component_name,canonical_key,component_category,series_name,model_code,official_url,description
1,Schwalbe,tyre,Tyre,Schwalbe Kojak,tyres_schwalbe_kojak,Tyres,,,,Tyres: Schwalbe Kojak
2,Schwalbe,tyre,Tyre,Schwalbe Marathon Racer,tyres_schwalbe_marathon_racer,Tyres,,,,Tyres: Schwalbe Marathon Racer
3,brompton,handlebar,Handlebar,Mid or high,handlebars_mid_or_high,Handlebars,,,,Handlebars: Mid or high
4,Schwalbe,tyre,Tyre,349 x 35C Schwalbe Marathon Racer,tyres_349_x_35c_schwalbe_marathon_racer,Tyres,,,,Tyres: 349 x 35C Schwalbe Marathon Racer
5,Continental,tyre,Tyre,349 x 35C Continental Contact Urban - folding bead,tyres_349_x_35c_continental_contact_urban_folding_bead,Tyres,,,,Tyres: 349 x 35C Continental Contact Urban - folding bead
6,Schwalbe,tyre,Tyre,Schwalbe ONE with Addix Race rubber mix and V-Guard puncture protection,tyres_schwalbe_one_with_addix_race_rubber_mix_and_v_guard_puncture_protection,Tyres,,,,Tyres: Schwalbe ONE with Addix Race rubber mix and V-Guard puncture protection
7,canyon,handlebar,Handlebar,400,handlebar_width_in_mm_400,Handlebar Width in mm,,,,Handlebar Width in mm: 400
8,canyon,crankset,Crankset,"170,0",crank_length_in_mm_170_0,Crank Length in mm,,,,"Crank Length in mm: 170,0"
9,canyon,chain,Chain,50/34,chainring_size_50_34,Chainring Size,,,,Chainring Size: 50/34
10,canyon,wheel,Wheel,"28""",wheel_size_28,Wheel Size,,,,"Wheel Size: 28"""
11,canyon,handlebar,Handlebar,380,handlebar_width_in_mm_380,Handlebar Width in mm,,,,Handlebar Width in mm: 380
12,canyon,crankset,Crankset,"165,0",crank_length_in_mm_165_0,Crank Length in mm,,,,"Crank Length in mm: 165,0"
13,dahon,frame,Frame,24,frame_24,Frame,,,,Frame: 24
14,dahon,wheel,Wheel,"they accelerate faster due to a lower moment of inertia,are more aerodynamic, and lighter. In fact, the world speed record for a bike ridden in an upright position was set on abike with 18″ wheels. With DAHON's latest",a_small_wheel_has_slightly_higher_rolling_resistance_than_a_larger_wheel_but_this_is_only_one_aspect_of_speed_small_whee,"A small wheel has slightly higher rolling resistance than a larger wheel, but this is only one aspect of “speed.” Small wheels offer several performance advantages",,,,"A small wheel has slightly higher rolling resistance than a larger wheel, but this is only one aspect of “speed.” Small wheels offer several performance advantages: they accelerate faster due to a lower moment of inertia,are more aerodynamic, and lighter. In fact, the world speed record for a bike ridden in an upright position was set on abike with 18″ wheels. With DAHON's latest"
15,merida,shock,Shock,"150mm, MID: 170mm, LONG, XLONG: 200mm",travel_seatpost_xshort_short_150mm_mid_170mm_long_xlong_200mm,travel seatpost XSHORT/SHORT,,,,"travel seatpost XSHORT/SHORT: 150mm, MID: 170mm, LONG, XLONG: 200mm"
16,merida,frame,Frame,AWS ANTI WRINKLE SYSTEM,frame_technology_aws_anti_wrinkle_system,Frame Technology,,,,Frame Technology: AWS ANTI WRINKLE SYSTEM
17,merida,frame,Frame,INTERNAL CABLE ROUTING,frame_technology_internal_cable_routing,Frame Technology,,,,Frame Technology: INTERNAL CABLE ROUTING
18,merida,frame,Frame,NANO MATRIX CARBON,frame_technology_nano_matrix_carbon,Frame Technology,,,,Frame Technology: NANO MATRIX CARBON
19,merida,frame,Frame,NON-SLIP TIGHTENING,frame_technology_non_slip_tightening,Frame Technology,,,,Frame Technology: NON-SLIP TIGHTENING
20,merida,frame,Frame,P-FLEX,frame_technology_p_flex,Frame Technology,,,,Frame Technology: P-FLEX
21,merida,frame,Frame,WIRE PORT,frame_technology_wire_port,Frame Technology,,,,Frame Technology: WIRE PORT
22,merida,frame,Frame,X-TAPER HEADTUBE,frame_technology_x_taper_headtube,Frame Technology,,,,Frame Technology: X-TAPER HEADTUBE
23,merida,shock,Shock,"150mm, MID: 170mm, LONG: 200mm, XLONG: 230mm",travel_seatpost_xshort_short_150mm_mid_170mm_long_200mm_xlong_230mm,travel seatpost XSHORT/SHORT,,,,"travel seatpost XSHORT/SHORT: 150mm, MID: 170mm, LONG: 200mm, XLONG: 230mm"
24,merida,frame,Frame,FAST KINEMATIC,frame_technology_fast_kinematic,Frame Technology,,,,Frame Technology: FAST KINEMATIC
25,merida,frame,Frame,LONG FENDER,frame_technology_long_fender,Frame Technology,,,,Frame Technology: LONG FENDER
26,merida,frame,Frame,MERIDA SERVICE PORT,frame_technology_merida_service_port,Frame Technology,,,,Frame Technology: MERIDA SERVICE PORT
27,merida,frame,Frame,HFS - HYDRO FORMING SYSTEM,frame_technology_hfs_hydro_forming_system,Frame Technology,,,,Frame Technology: HFS - HYDRO FORMING SYSTEM
28,merida,frame,Frame,PROLITE 66 TRIPLE BUTTED ALUMINUM,frame_technology_prolite_66_triple_butted_aluminum,Frame Technology,,,,Frame Technology: PROLITE 66 TRIPLE BUTTED ALUMINUM
29,merida,frame,Frame,SMOOTH WELDING,frame_technology_smooth_welding,Frame Technology,,,,Frame Technology: SMOOTH WELDING
30,oyama,frame,Frame,"29"" Alloy Full-Suspension",frame_29_alloy_full_suspension,Frame,,,,"Frame: 29"" Alloy Full-Suspension"
31,oyama,motor,Motor,Bafang M510 36V 95Nm,e_motor_bafang_m510_36v_95nm,E-Motor,,,,E-Motor: Bafang M510 36V 95Nm
32,oyama,battery,Battery,Phylion IT-21 36V/ 7Ah,e_battery_phylion_it_21_36v_7ah,E-Battery,,,,E-Battery: Phylion IT-21 36V/ 7Ah
33,oyama,fork,Fork,Suntour XCR34X-Boost,front_fork_suntour_xcr34x_boost,Front Fork,,,,Front Fork: Suntour XCR34X-Boost
34,oyama,derailleur,Derailleur,N/A,f_derailleur_n_a,F/Derailleur,,,,F/Derailleur: N/A
35,Shimano,derailleur,Derailleur,Shimano SLX RD-M7100 12S,r_derailleur_shimano_slx_rd_m7100_12s,R/Derailleur,,,,R/Derailleur: Shimano SLX RD-M7100 12S
36,oyama,chain,Chain,Bafang G522 32T,chainwheel_bafang_g522_32t,Chainwheel,,,,Chainwheel: Bafang G522 32T
37,Shimano,cassette,Cassette,Shimano SLX CS-M7100 10-51T,cassettes_shimano_slx_cs_m7100_10_51t,Cassettes,,,,Cassettes: Shimano SLX CS-M7100 10-51T
38,oyama,tyre,Tyre,"Kenda K-1227 29""*2.4"" 30TPi",tire_kenda_k_1227_29_2_4_30tpi,Tire,,,,"Tire: Kenda K-1227 29""*2.4"" 30TPi"
